Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Price_Group,Year_Group
verna,2017,9.100000381469727,9.399999618530273,15141,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
eon,2016,3.0999999046325684,4.429999828338623,11849,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
creta,2015,11.25,13.600000381469727,68000,Diesel,Dealer,Manual,0,10-20,Recientes (2015+)
verna,2013,4.800000190734863,9.399999618530273,60241,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
eon,2012,2.0,4.429999828338623,23709,Petrol,Dealer,Manual,0,0-2,Antiguos (<2015)
verna,2012,5.349999904632568,9.399999618530273,32322,Diesel,Dealer,Manual,0,5-10,Antiguos (<2015)
xcent,2015,4.75,7.130000114440918,35866,Petrol,Dealer,Manual,1,2-5,Recientes (2015+)
xcent,2014,4.400000095367432,7.130000114440918,34000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
i20,2016,6.25,7.599999904632568,7000,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
verna,2013,5.949999809265137,9.399999618530273,49000,Diesel,Dealer,Manual,0,5-10,Antiguos (<2015)
verna,2012,5.199999809265137,9.399999618530273,71000,Diesel,Dealer,Manual,0,5-10,Antiguos (<2015)
i20,2012,3.75,6.789999961853027,35000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
verna,2015,5.949999809265137,9.399999618530273,36000,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
i10,2013,4.0,4.599999904632568,30000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
i20,2016,5.25,7.599999904632568,17000,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
creta,2016,12.899999618530273,13.600000381469727,35934,Diesel,Dealer,Manual,0,10-20,Recientes (2015+)
city,2013,5.0,9.899999618530273,56701,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
brio,2015,5.400000095367432,6.820000171661377,31427,Petrol,Dealer,Automatic,0,5-10,Recientes (2015+)
city,2014,7.199999809265137,9.899999618530273,48000,Diesel,Dealer,Manual,0,5-10,Antiguos (<2015)
city,2013,5.25,9.899999618530273,54242,Petrol,Dealer,Manual,0,5-10,Antiguos (<2015)
brio,2012,3.0,5.349999904632568,53675,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
city,2016,10.25,13.600000381469727,49562,Petrol,Dealer,Manual,0,10-20,Recientes (2015+)
city,2015,8.5,13.600000381469727,40324,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
city,2015,8.399999618530273,13.600000381469727,25000,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
amaze,2014,3.9000000953674316,7.0,36054,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
city,2016,9.149999618530273,13.600000381469727,29223,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
brio,2016,5.5,5.96999979019165,5600,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
amaze,2015,4.0,5.800000190734863,40023,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
jazz,2016,6.599999904632568,7.699999809265137,16002,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
amaze,2015,4.0,7.0,40026,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
jazz,2017,6.5,8.699999809265137,21200,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
amaze,2014,3.6500000953674316,7.0,35000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
city,2016,8.350000381469727,9.399999618530273,19434,Diesel,Dealer,Manual,0,5-10,Recientes (2015+)
brio,2017,4.800000190734863,5.800000190734863,19000,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
city,2015,6.699999809265137,10.0,18828,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
city,2011,4.099999904632568,10.0,69341,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
city,2009,3.0,10.0,69562,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
city,2015,7.5,10.0,27600,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
brio,2014,5.300000190734863,6.800000190734863,16500,Petrol,Dealer,Manual,0,5-10,Antiguos (<2015)
city,2016,10.899999618530273,13.600000381469727,30753,Petrol,Dealer,Automatic,0,10-20,Recientes (2015+)
city,2015,8.649999618530273,13.600000381469727,24800,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
city,2015,9.699999809265137,13.600000381469727,21780,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
jazz,2016,6.0,8.399999618530273,4000,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
city,2014,6.25,13.600000381469727,40126,Petrol,Dealer,Manual,0,5-10,Antiguos (<2015)
brio,2015,5.25,5.900000095367432,14465,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
city,2006,2.0999999046325684,7.599999904632568,50456,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,0,5-10,Antiguos (<2015)
city,2016,8.989999771118164,11.800000190734863,9010,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
brio,2013,3.5,5.900000095367432,9800,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
jazz,2016,7.400000095367432,8.5,15059,Petrol,Dealer,Automatic,0,5-10,Recientes (2015+)
jazz,2016,5.650000095367432,7.900000095367432,28569,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0,5-10,Recientes (2015+)
city,2015,8.399999618530273,13.600000381469727,34000,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
city,2016,10.109999656677246,13.600000381469727,10980,Petrol,Dealer,Manual,0,10-20,Recientes (2015+)
amaze,2014,4.5,6.400000095367432,19000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
brio,2015,5.400000095367432,6.099999904632568,31427,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
jazz,2016,6.400000095367432,8.399999618530273,12000,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
city,2010,3.25,9.899999618530273,38000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
amaze,2014,3.75,6.800000190734863,33019,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
city,2015,8.550000190734863,13.09000015258789,60076,Diesel,Dealer,Manual,0,5-10,Recientes (2015+)
city,2016,9.5,11.600000381469727,33988,Diesel,Dealer,Manual,0,5-10,Recientes (2015+)
brio,2015,4.0,5.900000095367432,60000,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
city,2009,3.3499999046325684,11.0,87934,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,0,10-20,Recientes (2015+)
brio,2016,5.300000190734863,5.900000095367432,5464,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
